ID_2	Xt	Yt	CENc_pH	CENc_Mn	CENc_ARENA	CENc_%Al	CENc_POT_pH	CENc_POT_ARENA	CENc_POT_%Al	CENc_Xt	CENc_Yt	Zones(4)	LN_KdGlifo
134	460337.212348345	6457270.37497632	0.716404494382027	23.0685393258426	-16.8449438202247	0.0391731635280899	9.68888089887641	-1602.54921348315	0.00953032387508202	20415.7221990583	31728.6993463077	III	2.91912117118215
136	459339.538242146	6416019.78601782	0.516404494382027	10.6685393258426	-8.34494382022471	0.00957316352808985	6.76888089887641	-1159.69921348315	0.00105288387508203	19418.0480928593	-9521.88961219229	IV	2.99272776453369
138	460815.292307216	6380175.8666653	0.516404494382027	19.4685393258426	6.65505617977529	0.0359731635280899	6.76888089887641	-25.6992134831453	0.00852936387508203	20893.8021579292	-45365.8089647125	III	1.038754358052032
140	464229.432596419	6338212.38103041	0.0164044943820265	-58.3314606741574	7.05505617977529	0.0415731635280898	-0.181119101123592	10.7007865168544	0.010294483875082	24307.9424471323	-87329.2945996029	IV	3.91860132078827
142	465263.666788891	6296646.01261172	-0.993595505617973	-59.8314606741574	20.9550561797753	0.0311731635280899	-12.6950191011236	1474.37078651685	0.00706632387508202	25342.1766396043	-128895.663018293	IV	3.27695603594473
144	456056.184766064	6258558.2867172	-1.31359550561797	-41.4314606741574	26.8550561797753	-0.00922683647191014	-16.2342191011236	2212.46078651685	-0.00342151612491798	16134.6946167772	-166983.388912813	IV	3.70364490631441
146	460984.572330226	6218295.14479416	-0.483595505617973	-44.9314606741574	18.8550561797753	0.0315731635280899	-6.63111910112359	1228.46078651685	0.00718648387508202	21063.0821809393	-207246.530835853	IV	3.40916555131133
148	456152.09139687	6175430.2801699	0.216404494382027	-56.8314606741574	14.5550561797753	0.0151731635280899	2.53888089887641	752.450786516854	0.00252232387508202	16230.6012475832	-250111.395460113	IV	3.33077491736561
150	448405.027744891	6145930.74335186	1.01640449438203	61.8685393258426	-8.94494382022471	0.0707731635280898	14.2188808988764	-1195.69921348315	0.020514483875082	8483.53759560426	-279610.932278153	III	2.47527710081216
151	429559.316151596	6713097.27733537	0.916404494382026	-46.3314606741574	7.05505617977529	0.11197316352809	12.6888808988764	10.7007865168544	0.037834963875082	-10362.1739976907	287555.601705357	II	2.45358796653057
152	431144.148833192	6693667.17067718	0.116404494382026	160.968539325843	-26.2449438202247	0.0399731635280899	1.16888089887641	-1924.02921348315	0.00978376387508203	-8777.34131609474	268125.495047168	III	4.17860911458519
184	414909.635861295	6656060.90924888	0.216404494382027	64.3685393258426	-23.5449438202247	-0.0158146094719101	2.53888089887641	-1849.77921348315	-0.00482215721341848	-25011.8542879918	230519.233618868	III	4.46854830844513
186	423666.861489734	6616209.04093037	-0.483595505617973	158.068539325843	-28.1449438202247	-0.00979319647191014	-6.63111910112359	-1967.53921348315	-0.00354534147326838	-16254.6286595528	190667.365300357	III	4.56127054369807
187	418240.450155295	6593812.04374781	-0.783595505617973	50.0685393258426	-20.9449438202247	-0.00416061147191014	-10.2611191011236	-1764.49921348315	-0.00228533296916738	-21681.0399939917	168270.368117797	III	4.49803031043019
190	419639.809048867	6535326.8865247	0.216404494382027	56.5685393258426	-28.5449438202247	0.00702954352808985	2.53888089887641	-1975.77921348315	0.000406152261786426	-20281.6811004197	109785.210894687	III	4.42962561347316
192	419416.763604074	6496935.97862517	0.0164044943820265	42.7685393258426	-13.8449438202247	-0.0421478434719101	-0.181119101123592	-1462.74921348315	-0.00955400815742393	-20504.7265452127	71394.3029951574	III	2.71634900391691
196	422555.72972082	6416998.91508805	0.0164044943820265	-15.9314606741574	-3.34494382022471	0.0270161995280899	-0.181119101123592	-831.699213483146	0.00583651502477932	-17365.7604284668	-8542.76054196246	III	3.48185528467961
198	420123.238246752	6377094.14783363	-0.693595505617973	-25.4314606741574	7.75505617977529	0.00308536052808986	-9.19101910112359	75.1707865168546	-0.000571092347551176	-19798.2519025347	-48447.5277963821	IV	3.5176461943054
200	425171.030579723	6344752.99920593	-0.493595505617973	-58.0314606741574	25.4550561797753	-0.0203569934719101	-6.75501910112359	2031.02078651685	-0.00573736614447333	-14750.4595695637	-80788.6764240824	IV	2.41814343362832
202	423547.615217576	6312202.42343745	-1.37359550561797	-85.9314606741574	30.4550561797753	-0.0124224454719101	-16.8750191011236	2697.02078651685	-0.00411178170083708	-16373.8749317108	-113339.252192562	IV	3.1503828284229
203	420675.520860701	6277073.30713284	-1.23359550561797	-61.9314606741574	21.3550561797753	-0.0100136634719101	-15.3686191011236	1522.21078651685	-0.00359336950659008	-19245.9692885858	-148468.368497172	IV	2.89092715918786
208	421888.158986038	6180591.725676	-0.483595505617973	-42.2314606741574	27.6550561797753	-0.0263306714719101	-6.63111910112359	2317.90078651685	-0.00687813558521074	-18033.3311632487	-244949.949954012	IV	2.66930937278578
210	415114.344173182	6136351.03926378	-0.283595505617973	-63.7314606741574	23.6550561797753	-0.0198106894719101	-4.11111910112359	1803.50078651685	-0.00562947875819237	-24807.1459761048	-289190.636366232	IV	2.60157795659169
214	388211.037237062	6657911.83329039	0.716404494382027	-55.7314606741574	23.5550561797753	-0.0595361524719101	9.68888089887641	1791.05078651685	-0.0119182909157301	-51710.4529122247	232370.157660377	II	1.45745155543622
242	365386.789104599	6695977.77749439	0.216404494382027	93.0685393258426	-17.1449438202247	-0.0106932134719101	2.53888089887641	-1615.53921348315	-0.00374079570181188	-74534.7010446878	270436.101864377	III	3.1540172525197
246	382613.125118172	6619021.46076404	0.116404494382026	51.7685393258426	-13.8449438202247	0.0137375395280899	1.16888089887641	-1462.74921348315	0.00213963765935142	-57308.3650311147	193479.785134028	II	4.02374325503855
248	379647.202226242	6574478.26492555	0.0164044943820265	-92.9314606741574	21.0550561797753	-0.0347348544719101	-0.181119101123592	1486.30078651685	-0.00836221468822966	-60274.2879230448	148936.589295537	II	2.71137799119488
249	377951.964735214	6556394.26347498	0.216404494382027	-82.8314606741574	24.8550561797753	0.0118999615280899	2.53888089887641	1954.46078651685	0.00165581959041482	-61969.5254140727	130852.587844968	II	2.70638214400151
252	378648.573020151	6496538.18305531	0.316404494382026	52.7685393258426	-33.2449438202247	0.0111517325280898	3.92888089887641	-2048.62921348315	0.00146075227436982	-61272.9171291357	70996.5074252971	III	4.05135007064924
253	378883.175608366	6476585.08782487	0.416404494382026	58.9685393258426	-19.7449438202247	0.0113971765280899	5.3388808988764	-1720.57921348315	0.00152461743690623	-61038.3145409208	51043.4121948574	III	3.84267292729335
264	377971.743346778	6258673.40731029	-0.383595505617974	-92.4314606741574	37.4550561797753	-0.0483229054719101	-5.38111910112359	3713.42078651685	-0.0104628718384652	-61949.7468025088	-166868.268319722	IV	1.8229350866965
265	378353.931239972	6241497.30034567	-0.483595505617973	-87.2314606741574	29.2550561797753	-0.0360706814719101	-6.63111910112359	2532.62078651685	-0.00858509493453396	-61567.5589093147	-184044.375284342	IV	2.48573963609189
266	385668.459281423	6223914.9400802	-0.683595505617974	-83.2314606741574	32.7550561797753	-0.0477946514719101	-9.07111910112359	3020.17078651685	-0.0103881048190438	-54253.0308678637	-201626.735549812	IV	2.63296739497785
267	372920.761261139	6201697.04963053	-0.083595505617974	-116.431460674157	38.8550561797753	-0.0444356624719101	-1.51111910112359	3928.46078651685	-0.0098996293558197	-67000.7288881477	-223844.625999482	IV	2.1441753562464
270	379627.017776029	6134719.16359595	1.01640449438203	-18.3314606741574	-29.9449438202247	0.0164633925280899	14.2188808988764	-2002.09921348315	0.00286976993795442	-60294.4723732577	-290822.512034062	III	2.14422279992016
276	357028.121706397	6627659.12401014	1.01640449438203	140.368539325843	1.15505617977529	-0.0293595834719101	14.2188808988764	-493.749213483145	-0.00742928676555197	-82893.3684428898	202117.448380128	II	1.93079651124526
285	352374.611700576	6437236.24597112	0.816404494382026	6.56853932584261	-4.24494382022471	-0.0112356904719101	11.1788808988764	-894.429213483146	-0.00385782142732467	-87546.8784487108	11694.5703411074	II	3.35105183037445
293	356796.286156212	6281601.05807135	-0.283595505617973	-40.5314606741574	18.5550561797753	-0.0321990574719101	-4.11111910112359	1194.05078651685	-0.00792930403044514	-83125.2039930748	-143940.617558663	IV	2.99297848535737
296	365058.972488021	6217702.15989723	-0.283595505617973	-126.631460674157	46.8550561797753	-0.0591252684719101	-4.11111910112359	5232.46078651685	-0.0118693989032594	-74862.5176612657	-207839.515732783	IV	1.76130026174335
301	322034.073089637	6722198.55183972	1.31640449438203	52.4685393258426	-27.2449438202247	0.0132984685280899	18.9288808988764	-1947.82921348315	0.00202342009642503	-117887.41705965	296656.876209708	I	3.33184730352736
304	333942.316712648	6663125.30299628	1.21640449438203	-18.2314606741574	-4.74494382022471	-0.0426202974719101	17.3388808988764	-928.579213483145	-0.00962623953855946	-105979.173436639	237583.627366267	I	2.50028828430639
314	340121.946567342	6459510.01718526	-0.183595505617974	-58.2314606741574	-26.4449438202247	0.0117871675280899	-2.82111910112359	-1928.94921348315	0.00162634191599402	-99799.5435819448	33968.3415552471	II	2.96243398815248
322	343471.422186344	6292973.66083311	-0.583595505617974	-74.3314606741574	14.4550561797753	-0.0250731434719101	-7.86111910112359	741.820786516855	-0.00664392117377973	-96450.0679629428	-132568.014796902	IV	3.23179205013475
328	343616.11840133	6170951.62865077	-0.283595505617973	-114.131460674157	47.6550561797753	-0.0643984264719101	-4.11111910112359	5369.90078651685	-0.0124712243097899	-96305.3717479567	-254590.046979243	IV	1.54329810992956
333	314936.823547438	6654861.61783593	0.616404494382026	-42.3314606741574	25.1550561797753	-0.0589378494719101	8.21888089887641	1992.65078651685	-0.0118469853610318	-124984.666601849	229319.942205917	I	0.869199124340304
344	307888.353639968	6436237.58895226	0.716404494382027	43.1685393258426	4.85505617977529	-0.0322480334719101	9.68888089887641	-185.539213483145	-0.00793778699600517	-132033.136509319	10695.9133222476	II	3.48706922073612
350	313421.091518432	6284488.11418488	-0.283595505617973	-114.931460674157	37.0550561797753	-0.0415436194719101	-4.11111910112359	3652.70078651685	-0.00946098049504888	-126500.398630855	-141053.561445133	IV	1.84766710116635
351	311319.28335928	6250933.95366685	0.0164044943820265	-126.931460674157	44.9550561797753	-0.0554174294719101	-0.181119101123592	4911.17078651685	-0.0114129232288263	-128602.206790007	-174607.721963163	IV	0.841567185678219
353	312199.394704657	6218220.17298594	-0.283595505617973	-87.2314606741574	39.0550561797753	-0.0507027024719101	-4.11111910112359	3959.50078651685	-0.010792778491668	-127722.09544463	-207321.502644072	IV	1.65918000432891
356	314626.090162231	6153623.93342616	-0.083595505617974	-126.631460674157	44.8550561797753	-0.0560694404719101	-1.51111910112359	4894.46078651685	-0.0114951853722172	-125295.399987056	-271917.742203852	IV	1.31506685183152
364	299158.850443473	6536650.6933194	0.416404494382026	-24.0314606741574	6.05505617977529	-0.0248867334719101	5.3388808988764	-79.6992134831455	-0.00660893317326736	-140762.639705814	111109.017689387	II	1.0170406349743
366	300315.589087243	6496947.2755758	-0.483595505617973	9.56853932584261	-19.4449438202247	-0.0361206404719101	-6.63111910112359	-1709.14921348315	-0.00859336126812756	-139605.901062044	71405.5999457873	II	2.37630013081633
382	257921.064267263	6610370.74286122	0.316404494382026	-0.0314606741573868	19.8550561797753	-0.0394069944719101	3.92888089887641	1344.46078651685	-0.00912616482161302	-182000.425882024	184829.067231207	I	1.488580014818671
386	251686.08976016	6530851.07783007	0.816404494382026	-19.9314606741574	25.3550561797753	-0.0674483084719101	11.1788808988764	2018.21078651685	-0.0127939229854712	-188235.400389127	105309.402200057	I	1.07840958135059
